SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
OP(=O)([1*])O,TRUE,2,1,0,0,0,0,0,0,0,0,5,4,0,57.53,-0.3716,80.987,80.97415555,0
c1nc(C)c(O)c(c1[10*])C=O,TRUE,1,3,1,1,0,0,0,1,1,1,4,10,0.142857143,50.19,0.08272,136.13,136.0398534,0
O=c1nc(N)[nH]c(c12)NC[C@H]([15*])N2,TRUE,4,5,1,1,0,0,0,0,2,1,7,12,0.333333333,95.83,-0.9351,166.164,166.0728849,1
OC(=O)[21*],TRUE,1,1,1,0,0,0,0,0,0,0,3,3,0,37.3,0.2137,45.017,44.99765427,0
[5*]c1[nH]cnc1,TRUE,1,1,1,1,0,0,0,0,1,1,3,5,0,28.68,-0.4157,67.071,67.0296231,0
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1[16*])n2cnc(c23)c(N)ncn3,TRUE,3,8,1,1,0,0,0,1,3,2,9,17,0.444444444,119.31,-1.4655,236.211,236.0783642,4
[O-]C(=O)[23*],TRUE,0,2,1,0,1,-1,0,0,0,0,3,3,0,40.13,-1.121,44.009,43.99037782,0
[3*]c1ccccc1,TRUE,0,0,1,1,0,0,0,0,1,1,1,6,0,0,0.8612,77.106,77.03912516,0
[10*][C@@H]1SC[C@@H]([C@@H]12)NC(=O)N2,TRUE,2,2,1,0,0,0,0,0,2,0,5,9,0.8,41.13,-0.3414,143.191,143.0279088,3
C[N+]([2*])(C)C,TRUE,0,0,0,0,1,1,0,0,0,0,2,4,1,0,0.1569,59.112,59.07295071,0
OC[2*],TRUE,1,1,0,0,0,0,0,0,0,0,2,2,1,20.23,-0.5145,31.034,31.01838972,0
NC[6*],TRUE,1,1,0,0,0,0,0,0,0,0,2,2,1,26.02,-0.5481,30.05,30.03437413,0
[7*]CN=C(N)N,TRUE,2,1,1,0,0,0,0,1,0,0,4,5,0.5,64.4,-1.2334,72.091,72.05617219,0
[7*][C@H]1OC(=O)C(O)=C1O,TRUE,2,4,1,0,0,0,0,0,1,0,5,8,0.25,66.76,-0.2538,115.064,115.0031336,1
O=C([7*])N,TRUE,1,1,1,0,0,0,0,0,0,0,3,3,0,43.09,-0.3856,44.033,44.01363868,0
[17*]CC,TRUE,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0.9739,29.062,29.03912516,0
[6*]SC,TRUE,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0.8137,47.102,46.9955461,0
c1cc(O)ccc1[4*],TRUE,1,1,1,1,0,0,0,0,1,1,2,7,0,20.23,0.5668,93.105,93.03403978,0
C=C1[C@@H](O)C[C@H](O)C\C1=C\C=C(CCC2)\[C@@H]([C@]23C)CC[C@@H]3[9*],TRUE,2,2,1,0,0,0,0,1,3,0,3,21,0.684210526,40.46,3.849,287.423,287.2011051,5
OC([18*])(C)C,TRUE,1,1,0,0,0,0,0,0,0,0,2,4,1,20.23,0.2641,59.088,59.04968984,0
O[C@H](C1)C=C(C)[C@H]([14*])C1(C)C,TRUE,1,1,0,0,0,0,0,0,1,0,2,10,0.777777778,20.23,2.0613,139.218,139.1122901,2
CC1(C)C[C@H](O)CC(C)=C1\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[3*],TRUE,1,1,1,0,0,0,0,9,1,0,2,32,0.35483871,20.23,8.5568,429.668,429.3157409,1
O=c1[nH]c(=O)nc(n2C[10*])c1nc(c23)cc(C)c(c3)C,TRUE,1,5,1,1,0,0,0,1,3,1,7,19,0.230769231,80.64,0.70824,255.257,255.0882006,0
O=C(N[9*])C,TRUE,1,1,1,0,0,0,0,0,0,0,3,4,0.5,29.1,-0.4132,58.06,58.02928875,0
O=C[9*],TRUE,0,1,0,0,0,0,0,0,0,0,2,2,0,17.07,-0.2741,29.018,29.00273965,0
SC[12*],TRUE,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0.423,47.102,46.9955461,0
C=C1CC[C@H](O)C\C1=C\C=C(CCC2)\[C@@H]([C@]23C)CC[C@@H]3[8*],TRUE,1,1,1,0,0,0,0,1,3,0,2,20,0.684210526,20.23,4.8782,271.424,271.2061905,4
CN([5*])/C([NH3+])=N\[H],TRUE,2,1,1,0,1,1,0,0,0,0,4,5,0.5,54.73,-1.44083,73.099,73.06344864,0
CC([4*])C,TRUE,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1.364,43.089,43.05477522,0
[5*]c1c[nH]c(c12)cccc2,TRUE,1,0,1,1,0,0,0,0,2,2,2,9,0,15.79,1.3425,116.143,116.0500242,0
[7*]c1c(N)nc(C)nc1,TRUE,1,3,1,1,0,0,0,0,1,1,4,8,0.2,51.8,-0.45818,108.124,108.0561722,0
O=C(N[9*])N,TRUE,2,1,1,0,0,0,0,0,0,0,4,4,0,55.12,-0.881,59.048,59.02453772,0
O[C@@H]([4*])C,TRUE,1,1,0,0,0,0,0,0,0,0,2,3,1,20.23,-0.126,45.061,45.03403978,1
[30*]N1C=C(C(=O)N)CC=C1,TRUE,1,2,1,0,0,0,0,1,1,0,4,9,0.166666667,46.33,0.0393,123.135,123.0558378,0
O=c1nc(N)[nH]c(c12)ncc(n2)[20*],TRUE,2,5,1,1,0,0,0,0,2,2,7,12,0,97.55,-1.5301,162.132,162.0415847,0
N[C@H]([5*])C,TRUE,1,1,0,0,0,0,0,0,0,0,2,3,1,26.02,-0.1596,44.077,44.05002419,1
CC1(C)CCCC(C)=C1/C=C/C(C)=C/C=C/C(C)=C/[20*],TRUE,0,0,1,0,0,0,0,4,1,0,1,19,0.473684211,0,6.0248,255.425,255.2112759,0
C1C[C@]([3*])(C)Oc(c12)c(C)c(C)c(O)c2C,TRUE,1,2,1,1,0,0,0,0,2,1,3,15,0.538461538,29.46,2.90796,205.277,205.1228548,1
[5*][C@H]1SSCC1,TRUE,0,2,0,0,0,0,0,0,1,0,3,5,1,0,1.6469,105.207,104.9832672,1
COC(=O)[7*],TRUE,0,2,1,0,0,0,0,0,0,0,3,4,0.5,26.3,0.3021,59.044,59.01330434,0
[7*][C@H]1NCCC1,TRUE,1,1,0,0,0,0,0,0,1,0,2,5,1,12.03,0.2452,70.115,70.06567426,1
[12*]OC,TRUE,0,1,0,0,0,0,0,0,0,0,2,2,1,9.23,0.0971,31.034,31.01838972,0
FC(F)(F)[15*],TRUE,0,0,0,0,0,0,3,0,0,0,4,4,1,0,1.0555,69.005,68.99520966,0
n1n[nH]nc1-c(cccc2)c2-c(cc3)ccc3[10*],TRUE,1,3,1,3,0,0,0,2,3,3,5,17,0,54.46,1.7083,221.243,221.0827213,0
[6*]c1cc(O)c(O)cc1,TRUE,2,2,1,1,0,0,0,0,1,1,3,8,0,40.46,0.2724,109.104,109.0289544,0
C1=CC(=O)C=C([C@@H](F)C2)[C@@]1(C)[C@@H]([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)C[C@@H]5[C@@]4([21*])OC(O5)(C)C,TRUE,1,4,1,0,0,0,1,0,5,0,6,27,0.772727273,55.76,3.2201,375.46,375.1971626,9
c1cc(Cl)ccc1[4*],TRUE,0,0,1,1,0,0,1,0,1,1,2,7,0,0,1.5146,111.551,111.0001528,0
CN1[C@H]([6*])CCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,6,1,3.24,0.5874,84.142,84.08132432,1
c1ncccc1[2*],TRUE,0,1,1,1,0,0,0,0,1,1,2,6,0,12.89,0.2562,78.094,78.03437413,0
Cl\C=C\[2*],TRUE,0,0,0,0,0,0,1,0,0,0,2,3,0,0,1.2457,61.491,60.98450274,0
[2*]C#C,TRUE,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.1264,25.03,25.00782503,0
[6*]NN,TRUE,2,2,0,0,0,0,0,0,0,0,3,2,0,38.05,-1.086,31.038,31.0296231,0
NC([2*])(C)C,TRUE,1,1,0,0,0,0,0,0,0,0,2,4,1,26.02,0.2305,58.104,58.06567426,0
CN([9*])C,TRUE,0,1,0,0,0,0,0,0,0,0,2,3,1,3.24,0.0123,44.077,44.05002419,0
[4*]c1cc(OC)ccc1,TRUE,0,1,1,1,0,0,0,1,1,1,2,8,0.142857143,9.23,0.8698,107.132,107.0496898,0
O[C@@H]1[C@@H]([13*])O[C@H]([C@H]1O)n2cnc(c23)c(N)ncn3,TRUE,3,8,1,1,0,0,0,1,3,2,9,17,0.444444444,119.31,-1.4655,236.211,236.0783642,4
[7*]C1CC1,TRUE,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1.118,41.073,41.03912516,0
[9*]Cn1ncnc1,TRUE,0,3,1,1,0,0,0,1,1,1,4,6,0.333333333,30.71,-0.2151,82.086,82.04052213,0
[9*]c1c(F)cc(F)cc1,TRUE,0,0,1,1,0,0,2,0,1,1,3,8,0,0,1.1394,113.086,113.0202815,0
C1C[C@@]([12*])(C)Oc(c12)c(C)c(C)c(O)c2C,TRUE,1,2,1,1,0,0,0,0,2,1,3,15,0.538461538,29.46,2.90796,205.277,205.1228548,1
[25*][C@@H]1SC(=O)NC1=O,TRUE,1,3,1,0,0,0,0,0,1,0,5,7,0.333333333,46.17,-0.1552,116.121,115.9806243,1
[*]N1CCN(C)CC1,TRUE,0,2,0,0,0,0,0,0,1,0,3,7,1,6.48,-0.3019,99.157,99.09222335,0
O=S(=O)([8*])C,TRUE,0,2,0,0,0,0,0,0,0,0,4,4,1,34.14,-0.5047,79.1,78.98537534,0
c1cc(Cl)ccc1-c2c([7*])nc(N)nc2N,TRUE,2,4,1,2,0,0,1,1,2,2,6,15,0,77.82,1.136,219.655,219.0437489,0
[19*]OC(=O)c1cc(OC)c(OC)c(c1)OC,TRUE,0,5,1,1,0,0,0,4,1,1,6,15,0.3,53.99,1.3335,211.193,211.0606485,0
c1csc(c12)CCN([8*])C2,TRUE,0,2,1,1,0,0,0,0,2,1,3,9,0.428571429,3.24,1.5705,138.215,138.0377453,0
[8*]c1c(Cl)cccc1,TRUE,0,0,1,1,0,0,1,0,1,1,2,7,0,0,1.5146,111.551,111.0001528,0
COc(c1[3*])ccc(c1)-c(c2)ccc(c23)cc(cc3)C(=O)O,TRUE,1,2,1,2,0,0,0,3,3,3,4,21,0.055555556,46.53,3.3882,277.299,277.0864693,0
[13*]C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,TRUE,0,0,0,0,0,0,0,0,4,0,1,10,1,0,2.9244,135.23,135.1173755,0
COc(c1[6*])ccc(c1)OC,TRUE,0,2,1,1,0,0,0,2,1,1,3,10,0.25,18.46,0.8784,137.158,137.0602545,0
FC(F)[4*],TRUE,0,0,0,0,0,0,2,0,0,0,3,3,1,0,0.7583,51.015,51.00463147,0
COc1c(OC)ccnc1[13*],TRUE,0,3,1,1,0,0,0,2,1,1,4,10,0.285714286,31.35,0.2734,138.146,138.0555035,0
c1nccc(c1[*])Nc2cc(C)ccc2,TRUE,1,2,1,2,0,0,0,2,2,2,3,14,0.083333333,24.92,2.30822,183.234,183.0922234,0
c1cc(F)ccc1[4*],TRUE,0,0,1,1,0,0,1,0,1,1,2,7,0,0,1.0003,95.096,95.02970335,0
N#C[17*],TRUE,0,1,0,0,0,0,0,0,0,0,2,2,0,23.79,0.01678,26.018,26.003074,0
CN1[C@@H]([9*])CCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,6,1,3.24,0.5874,84.142,84.08132432,1
C/N=C(/N[3*])NC,TRUE,2,1,1,0,0,0,0,0,0,0,4,6,0.666666667,36.42,-0.7545,86.118,86.07182226,0
[7*]C1CCCCC1,TRUE,0,0,0,0,0,0,0,0,1,0,1,6,1,0,2.2883,83.154,83.08607535,0
CC([6*])(C)C,TRUE,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1.7541,57.116,57.07042529,0
[20*]NC(=O)c1c(C)c(O)ccc1,TRUE,2,2,1,1,0,0,0,1,1,1,4,11,0.125,49.33,0.89472,150.157,150.0555035,0
C1=CC(=O)C=C([C@@H](F)C2)[C@@]1(C)[C@@](F)([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)C[C@H](C)[C@@]4([21*])O,TRUE,2,3,1,0,0,0,2,0,4,0,6,25,0.75,57.53,2.7891,351.413,351.1771761,9
[6*][C@@H]1[C@H](O)Cc(c12)cccc2,TRUE,1,1,1,1,0,0,0,0,2,1,2,10,0.333333333,20.23,1.194,133.17,133.0653399,2
O1C[C@@H]([13*])OC12CCCCC2,TRUE,0,2,0,0,0,0,0,0,2,0,3,10,1,18.46,1.569,141.19,141.0915547,1
[14*][C@H]1OC(=O)C[C@H](O)C1,TRUE,1,3,1,0,0,0,0,0,1,0,4,8,0.8,46.53,-0.4403,115.108,115.0395191,2
Cl[C@@H](F)[7*],TRUE,0,0,0,0,0,0,2,0,0,0,3,3,1,0,1.0276,67.47,66.97508093,1
c1sc(N)nc1[25*],TRUE,1,3,1,1,0,0,0,0,1,1,4,6,0,38.91,-0.1001,99.138,99.0016941,0
O=S(=O)([18*])N,TRUE,1,2,0,0,0,0,0,0,0,0,5,4,0,60.16,-1.2608,80.088,79.9806243,0
ClC[11*],TRUE,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0.732,49.48,48.98450274,0
[5*][C@@H]1OCCNC1,TRUE,1,2,0,0,0,0,0,0,1,0,3,6,1,21.26,-0.5184,86.114,86.06058888,1
c1c([15*])c(=O)[nH]c(C)c1-c2ccncc2,TRUE,1,2,1,2,0,0,0,1,2,2,4,14,0.090909091,45.75,0.91992,185.206,185.0714879,0
BrC[12*],TRUE,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0.8881,93.931,92.93398716,0
c1ccnc(N2[5*])c1C(=O)Nc(c23)c(C)ccn3,TRUE,1,4,1,2,0,0,0,0,3,2,6,17,0.083333333,58.12,1.95312,225.231,225.0776359,0
[9*]Cn1ccnc1,TRUE,0,2,1,1,0,0,0,1,1,1,3,6,0.25,17.82,0.3899,81.098,81.04527316,0
[15*]c1c(Cl)cc(Cl)cc1,TRUE,0,0,1,1,0,0,2,0,1,1,3,8,0,0,2.168,145.996,144.9611805,0
C1=CC(=O)C=C(C[C@H]2Cl)[C@@]1(C)[C@@H]([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)C[C@@H](C)[C@@]4([20*])O,TRUE,2,3,1,0,0,0,1,0,4,0,5,24,0.75,57.53,2.9663,349.878,349.1570474,9
[8*]C=C,TRUE,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.6792,27.046,27.0234751,0
Clc(n1)nc(N)c(c12)ncn2[C@@H]3O[C@H]([13*])[C@@H](O)C3,TRUE,2,7,1,1,0,0,1,1,3,2,9,17,0.444444444,99.08,0.2171,254.657,254.0444772,3
[14*]Oc1c(OC)cccc1,TRUE,0,2,1,1,0,0,0,2,1,1,3,9,0.142857143,18.46,1.5383,123.131,123.0446045,0
O=C([12*])Nc1c(C)cccc1C,TRUE,1,1,1,1,0,0,0,1,1,1,3,11,0.222222222,29.1,2.38464,148.185,148.0762389,0
c1cccc(c12)snc2N(CC3)CCN3[11*],TRUE,0,4,1,1,0,0,0,1,3,2,5,15,0.363636364,19.37,1.8826,218.305,218.0751934,0
c1c([12*])c(Cl)cc(c12)NC(=O)C2,TRUE,1,1,1,1,0,0,1,0,2,1,4,11,0.125,29.1,1.0092,166.587,166.0059665,0
CN1C[C@H]([17*])C=C([C@H]12)c3c4c(C2)cn(C)c4ccc3,TRUE,0,2,1,1,0,0,0,0,4,2,3,18,0.375,8.17,2.7696,237.326,237.1391735,2
