SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
CNC(=O)NC(=O)CCl,True,2,2,1,0,0,0,1,1,0,0,5,9,0.5,58.2,-0.31919999999999993,150.565,150.019605144,0
O=C(CCl)N1CCNC1=O,True,1,2,1,0,0,0,1,1,1,0,5,10,0.6,49.410000000000004,-0.2229999999999998,162.57600000000002,162.019605144,0
O=C(CCl)NC1=NN=NN1,True,2,4,1,1,0,0,1,2,1,1,7,10,0.3333333333333333,83.56,-0.6230000000000002,161.55200000000002,161.010437428,0
CN(CC1CC1)C(=O)CCl,True,0,1,1,0,0,0,1,3,1,0,3,10,0.8571428571428571,20.310000000000002,1.0936,161.632,161.060741684,0
O=C(CCl)N1CCCCCC1,True,0,1,1,0,0,0,1,1,1,0,3,11,0.875,20.310000000000002,1.6278,175.65899999999996,175.076391748,0
O=C(CCl)NCC1=CC=CS1,True,1,2,2,1,0,0,1,3,1,1,4,11,0.2857142857142857,29.1,1.6031000000000002,189.66700000000003,189.001512556,0
CC(C)NC(=O)NC(=O)CCl,True,2,2,1,0,0,0,1,2,0,0,5,11,0.6666666666666666,58.2,0.4593999999999999,178.61899999999997,178.050905272,0
O=C(CCl)N1CCNC(=O)C1,True,1,2,2,0,0,0,1,1,1,0,5,11,0.6666666666666666,49.410000000000004,-0.8163999999999998,176.603,176.035255208,0
O=C(CCl)NC1CCOCC1,True,1,2,1,0,0,0,1,2,1,0,4,11,0.8571428571428571,38.33,0.5204000000000002,177.63099999999997,177.055656304,0
COCC(=O)NNC(=O)CCl,True,2,3,2,0,0,0,1,3,0,0,6,11,0.6,67.43,-0.9809999999999992,180.59099999999998,180.030169828,0
CN(C(=O)CCl)C=1C=CC=CC1,True,0,1,1,1,0,0,1,2,1,1,3,12,0.2222222222222222,20.310000000000002,1.8881999999999999,183.63800000000003,183.04509162,0
O=C(CCl)NC1=CC=CC(F)=C1,True,1,1,1,1,0,0,2,2,1,1,4,12,0.125,29.1,2.003,187.601,187.020019744,0
CCC1=NN=C(NC(=O)CCl)S1,True,1,4,1,1,0,0,1,3,1,1,6,12,0.5,54.88,1.2778,205.67,205.007660556,0
O=C(CCl)NC=1C=CC(Cl)=CN1,True,1,2,1,1,0,0,2,2,1,1,5,12,0.14285714285714285,41.99,1.9122999999999997,205.044,203.985718172,0
C=CC(=O)NC=1C=CC(Br)=CC1,True,1,1,1,1,0,0,1,2,1,1,3,12,0.0,29.1,2.5736000000000008,226.07299999999998,224.978925976,0
